model,method,level,comp_ratio,intermediate_budget,working_max,final_budget,ratio,ctx_len,true_len,prefill_status,prefill_peak_gb,answer_peak_gb,cache_gb,num_compactions,num_segments,peak_phys_ctx,acc
qwen3-4b,kvzip,per_token,0.2,2048,4096,8192,0.2,8000,7999,ok,10.669604352,8.346929152,0.2,,,,1.0
qwen3-4b,kvzip,per_token,0.2,2048,4096,8192,0.2,16000,15999,ok,11.852610048,8.6008192,0.5,,,,1.0
qwen3-4b,kvzip,per_token,0.2,2048,4096,8192,0.2,32000,31999,ok,14.222283264,9.103309824,0.9,,,,1.0
qwen3-4b,kvzip,per_token,0.2,2048,4096,8192,0.2,64000,63999,ok,18.962442752,10.108518912,1.9,,,,1.0
qwen3-4b,kvzip,per_token,0.2,2048,4096,8192,0.2,96000,95999,oom,22.85811456,,,,,,
qwen3-4b,ours,per_token,0.4,3200,8192,3200,,8000,7999,ok,14.37012224,8.608495616,0.5,1,0,7999,1.0
qwen3-4b,ours,per_token,0.4,3277,8192,6400,,16000,15999,ok,14.823778304,9.083694592,0.9,2,1,11084,1.0
qwen3-4b,ours,per_token,0.4,3277,8192,12800,,32000,31999,ok,15.739579392,10.035532288,1.9,4,3,17254,1.0
qwen3-4b,ours,per_token,0.4,3277,8192,25600,,64000,63999,ok,17.563457536,11.93961728,3.8,8,7,29594,1.0
qwen3-4b,ours,per_token,0.4,3277,8192,38400,,96000,95999,ok,19.391024128,13.853037056,5.7,12,11,41934,1.0
qwen3-4b,ours,per_token,0.4,3277,8192,48000,,120000,119999,oom,20.729906688,,,,,,
qwen3-4b,kvzip,per_token,0.4,2048,4096,8192,0.4,8000,7999,ok,10.669604352,8.590715392,0.5,,,,1.0
qwen3-4b,kvzip,per_token,0.4,2048,4096,8192,0.4,16000,15999,ok,11.852610048,9.077045248,0.9,,,,1.0
qwen3-4b,kvzip,per_token,0.4,2048,4096,8192,0.4,32000,31999,ok,14.222283264,10.057334784,1.9,,,,1.0
qwen3-4b,kvzip,per_token,0.4,2048,4096,8192,0.4,64000,63999,ok,18.962442752,12.0221696,3.8,,,,1.0
qwen3-4b,kvzip,per_token,0.4,2048,4096,8192,0.4,96000,95999,oom,22.85811456,,,,,,
qwen3-4b,ours,per_token,0.6,4799,8192,4799,,8000,7999,ok,14.37012224,8.848499712,0.7,1,0,7999,1.0
qwen3-4b,ours,per_token,0.6,4915,8192,9599,,16000,15999,ok,15.066989568,9.56549888,1.4,2,1,12722,1.0
qwen3-4b,ours,per_token,0.6,4915,8192,19199,,32000,31999,ok,16.465793024,10.996909056,2.8,4,3,22168,1.0
qwen3-4b,ours,per_token,0.6,4915,8192,38399,,64000,63999,ok,19.261248512,13.864036864,5.7,8,7,41060,1.0
qwen3-4b,ours,per_token,0.6,4915,8192,57599,,96000,95999,oom,20.936733696,,,,,,
qwen3-4b,kvzip,per_token,0.6,2048,4096,8192,0.6,8000,7999,ok,10.669604352,8.830558208,0.7,,,,1.0
qwen3-4b,kvzip,per_token,0.6,2048,4096,8192,0.6,16000,15999,ok,11.852610048,9.551537152,1.4,,,,1.0
qwen3-4b,kvzip,per_token,0.6,2048,4096,8192,0.6,32000,31999,ok,14.222283264,11.008481792,2.8,,,,1.0
qwen3-4b,kvzip,per_token,0.6,2048,4096,8192,0.6,64000,63999,ok,18.962442752,13.921981952,5.7,,,,1.0
qwen3-4b,kvzip,per_token,0.6,2048,4096,8192,0.6,96000,95999,oom,22.85811456,,,,,,
qwen3-4b,ours,per_token,0.8,6399,8192,6399,,8000,7999,ok,14.37012224,9.089849344,0.9,1,0,7999,1.0
qwen3-4b,ours,per_token,0.8,6554,8192,12799,,16000,15999,ok,15.310906368,10.047555072,1.9,2,1,14361,1.0
qwen3-4b,ours,per_token,0.8,6554,8192,25599,,32000,31999,ok,17.191535616,11.953506816,3.8,4,3,27085,1.0
qwen3-4b,ours,per_token,0.8,6554,8192,51199,,64000,63999,ok,20.958984192,15.781775872,7.6,8,7,52533,1.0
qwen3-4b,ours,per_token,0.8,6554,8192,76799,,96000,95999,oom,20.87501824,,,,,,
qwen3-4b,kvzip,per_token,0.8,2048,4096,8192,0.8,8000,7999,ok,10.669604352,9.067087872,0.9,,,,1.0
qwen3-4b,kvzip,per_token,0.8,2048,4096,8192,0.8,16000,15999,ok,11.852610048,10.03132928,1.9,,,,1.0
qwen3-4b,kvzip,per_token,0.8,2048,4096,8192,0.8,32000,31999,ok,14.222283264,11.953347584,3.8,,,,1.0
qwen3-4b,kvzip,per_token,0.8,2048,4096,8192,0.8,64000,63999,ok,18.962442752,15.818008064,7.6,,,,1.0
qwen3-4b,kvzip,per_token,0.8,2048,4096,8192,0.8,96000,95999,oom,22.85811456,,,,,,
qwen3-4b,ours,per_token,1.0,7999,12095,7999,,8000,7999,ok,14.37012224,9.330002944,1.2,0,0,7999,1.0
qwen3-4b,ours,per_token,1.0,15999,20095,15999,,16000,15999,ok,15.577453056,10.525261312,2.4,0,0,15999,1.0
qwen3-4b,ours,per_token,1.0,31999,36095,31999,,32000,31999,ok,17.94400256,12.91478016,4.7,0,0,31999,1.0
qwen3-4b,ours,per_token,1.0,63999,68095,63999,,64000,63999,oom,20.872061952,,,,,,
qwen3-4b,kvzip,per_token,1.0,2048,4096,8192,1.0,8000,7999,ok,10.669604352,9.287476736,1.2,,,,1.0
qwen3-4b,kvzip,per_token,1.0,2048,4096,8192,1.0,16000,15999,ok,11.852610048,10.490156544,2.4,,,,1.0
qwen3-4b,kvzip,per_token,1.0,2048,4096,8192,1.0,32000,31999,ok,14.222283264,12.894998016,4.7,,,,1.0
qwen3-4b,kvzip,per_token,1.0,2048,4096,8192,1.0,64000,63999,ok,18.962442752,17.712885248,9.4,,,,1.0
qwen3-4b,kvzip,per_token,1.0,2048,4096,8192,1.0,96000,95999,oom,22.85811456,,,,,,
llama3.2-3b,ours,per_token,0.0,256,8192,256,,8000,7999,ok,11.275902976,6.534244864,0.0,1,0,7999,0.0
llama3.2-3b,ours,per_token,0.0,256,8192,256,,16000,15999,ok,11.778915328,6.528211456,0.0,2,1,12287,0.0
llama3.2-3b,ours,per_token,0.0,256,8192,256,,32000,31999,ok,11.811446272,6.518557696,0.0,4,2,12537,0.0
llama3.2-3b,ours,per_token,0.0,256,8192,256,,64000,63999,ok,11.813216768,6.501745152,0.0,10,5,12543,0.0
llama3.2-3b,ours,per_token,0.0,256,8192,256,,96000,95999,ok,11.813472768,6.491699712,0.0,16,8,12543,0.0
llama3.2-3b,ours,per_token,0.0,256,8192,256,,120000,119999,ok,11.813664768,6.492141056,0.0,20,10,12543,0.0
llama3.2-3b,kvzip,per_token,0.0,2048,4096,8192,0.0,8000,7999,ok,8.455285248,6.46516992,0.0,,,,0.0
llama3.2-3b,kvzip,per_token,0.0,2048,4096,8192,0.0,16000,15999,ok,9.378290176,6.470304256,0.0,,,,0.0
llama3.2-3b,kvzip,per_token,0.0,2048,4096,8192,0.0,32000,31999,ok,11.219101184,6.481952256,0.0,,,,0.0
llama3.2-3b,kvzip,per_token,0.0,2048,4096,8192,0.0,64000,63999,ok,14.906808832,6.510209536,0.0,,,,0.0
llama3.2-3b,kvzip,per_token,0.0,2048,4096,8192,0.0,96000,95999,oom,18.426978816,,,,,,
llama3.2-3b,ours,per_token,0.2,1600,8192,1600,,8000,7999,ok,11.275902976,6.691608064,0.2,1,0,7999,0.0
llama3.2-3b,ours,per_token,0.2,1638,8192,3200,,16000,15999,ok,11.778915328,6.874673664,0.4,2,1,12287,0.0
llama3.2-3b,ours,per_token,0.2,1638,8192,6400,,32000,31999,ok,11.96633088,7.24013824,0.7,3,2,13920,0.0
llama3.2-3b,ours,per_token,0.2,1638,8192,12800,,64000,63999,ok,12.345114112,7.971789312,1.5,6,5,17201,0.0
llama3.2-3b,ours,per_token,0.2,1638,8192,19200,,96000,95999,ok,12.816812544,8.396143616,1.9,9,9,21296,0.0
llama3.2-3b,ours,per_token,0.2,1638,8192,24000,,120000,119999,ok,13.665633792,8.707721728,2.2,11,11,28667,0.0
llama3.2-3b,kvzip,per_token,0.2,2048,4096,8192,0.2,8000,7999,ok,8.455285248,6.666838016,0.2,,,,1.0
llama3.2-3b,kvzip,per_token,0.2,2048,4096,8192,0.2,16000,15999,ok,9.378290176,6.871481856,0.4,,,,0.0
llama3.2-3b,kvzip,per_token,0.2,2048,4096,8192,0.2,32000,31999,ok,11.219101184,7.27103744,0.7,,,,0.0
llama3.2-3b,kvzip,per_token,0.2,2048,4096,8192,0.2,64000,63999,ok,14.906808832,8.075439104,1.5,,,,0.0
llama3.2-3b,kvzip,per_token,0.2,2048,4096,8192,0.2,96000,95999,oom,18.426978816,,,,,,
llama3.2-3b,ours,per_token,0.4,3200,8192,3200,,8000,7999,ok,11.275902976,6.880091648,0.4,1,0,7999,1.0
llama3.2-3b,ours,per_token,0.4,3277,8192,6400,,16000,15999,ok,11.778915328,7.251290112,0.7,2,1,12287,1.0
llama3.2-3b,ours,per_token,0.4,3277,8192,12800,,32000,31999,ok,12.156996608,7.9921664,1.5,3,2,15561,0.0
llama3.2-3b,ours,per_token,0.4,3277,8192,25600,,64000,63999,ok,13.288550912,8.6911104,2.2,5,5,25394,0.0
llama3.2-3b,ours,per_token,0.4,3277,8192,38400,,96000,95999,ok,14.041300992,10.223344128,3.7,8,8,32103,0.0
llama3.2-3b,ours,per_token,0.4,3277,8192,48000,,120000,119999,ok,15.082214912,10.821182976,4.3,11,11,40962,0.0
llama3.2-3b,kvzip,per_token,0.4,2048,4096,8192,0.4,8000,7999,ok,8.455285248,6.859679744,0.4,,,,0.0
llama3.2-3b,kvzip,per_token,0.4,2048,4096,8192,0.4,16000,15999,ok,9.378290176,7.24573952,0.7,,,,0.0
llama3.2-3b,kvzip,per_token,0.4,2048,4096,8192,0.4,32000,31999,ok,11.219101184,8.021111296,1.5,,,,0.0
llama3.2-3b,kvzip,per_token,0.4,2048,4096,8192,0.4,64000,63999,ok,14.906808832,9.56512256,2.9,,,,0.0
llama3.2-3b,kvzip,per_token,0.4,2048,4096,8192,0.4,96000,95999,oom,18.426978816,,,,,,
llama3.2-3b,ours,per_token,0.6,4799,8192,4799,,8000,7999,ok,11.275902976,7.067116032,0.6,1,0,7999,1.0
llama3.2-3b,ours,per_token,0.6,4915,8192,9599,,16000,15999,ok,11.778915328,7.509606912,1.0,1,1,12287,1.0
llama3.2-3b,ours,per_token,0.6,4915,8192,19199,,32000,31999,ok,12.344850432,8.51323904,2.0,2,2,17251,0.0
llama3.2-3b,ours,per_token,0.6,4915,8192,38399,,64000,63999,ok,14.043126784,9.65248256,3.1,5,5,31945,0.0
llama3.2-3b,ours,per_token,0.6,4915,8192,57599,,96000,95999,ok,15.83630848,11.853882368,5.3,9,9,47512,0.0
llama3.2-3b,ours,per_token,0.6,4915,8192,71999,,120000,119999,ok,17.182305792,13.413080576,6.8,11,11,59376,0.0
llama3.2-3b,kvzip,per_token,0.6,2048,4096,8192,0.6,8000,7999,ok,8.455285248,7.039158784,0.6,,,,1.0
llama3.2-3b,kvzip,per_token,0.6,2048,4096,8192,0.6,16000,15999,ok,9.378290176,7.609813504,1.1,,,,1.0
llama3.2-3b,kvzip,per_token,0.6,2048,4096,8192,0.6,32000,31999,ok,11.219101184,8.75239936,2.2,,,,0.0
